model,dataset,resolution,n_epochs,best_epoch,best_val_acc,gain_last_3,still_improving,log
videomae,ucf101,96,1,1,50.65,,False,retrain-res-75869.out
videomae,ssv2,96,1,1,38.82,,False,retrain-res-75871.out
videomae,hmdb51,96,1,1,39.11,,False,retrain-res-75872.out
videomae,diving48,96,1,1,15.99,,False,retrain-res-75876.out
videomae,autsl,96,1,1,13.17,,False,retrain-res-75877.out
videomae,driveact,96,1,1,51.85,,False,retrain-res-75880.out
videomae,epic_kitchens,96,1,1,43.18,,False,retrain-res-75883.out
videomae,ucf101,112,1,1,70.87,,False,retrain-res-75884.out
videomae,ssv2,112,1,1,43.09,,False,retrain-res-75885.out
videomae,hmdb51,112,1,1,48.19,,False,retrain-res-75887.out
videomae,diving48,112,1,1,24.31,,False,retrain-res-75894.out
videomae,autsl,112,1,1,24.78,,False,retrain-res-75896.out
videomae,driveact,112,1,1,58.2,,False,retrain-res-75902.out
videomae,epic_kitchens,112,1,1,49.77,,False,retrain-res-75903.out
videomae,ucf101,160,1,1,76.34,,False,retrain-res-75905.out
videomae,ssv2,160,1,1,46.02,,False,retrain-res-75906.out
videomae,hmdb51,160,1,1,58.37,,False,retrain-res-75911.out
videomae,diving48,160,1,1,25.23,,False,retrain-res-75912.out
videomae,autsl,160,1,1,30.19,,False,retrain-res-75914.out
videomae,driveact,160,1,1,63.74,,False,retrain-res-75917.out
videomae,epic_kitchens,160,1,1,49.54,,False,retrain-res-75919.out
videomae,ssv2,336,1,1,43.79,,False,retrain-res-75924.out
videomae,hmdb51,336,1,1,53.02,,False,retrain-res-75925.out
videomae,diving48,336,1,1,28.83,,False,retrain-res-75928.out
videomae,autsl,336,1,1,45.11,,False,retrain-res-75931.out
videomae,driveact,336,1,1,61.82,,False,retrain-res-75932.out
videomae,epic_kitchens,336,1,1,52.27,,False,retrain-res-75935.out
slowfast,r50_driveact,96,1,1,76.14,,False,retrain-res-75992.out
slowfast,r50_ucf101,112,1,1,90.77,,False,retrain-res-75996.out
timesformer,ucf101,96,10,6,63.36,1.21,False,retrain-res-76024.out
timesformer,ssv2,96,10,10,34.54,0.75,True,retrain-res-76025.out
timesformer,hmdb51,96,10,5,62.1,7.66,False,retrain-res-76026.out
timesformer,diving48,96,10,9,19.75,0.41,True,retrain-res-76027.out
timesformer,autsl,96,10,10,15.41,0.38,True,retrain-res-76038.out
timesformer,driveact,96,10,9,50.81,1.11,True,retrain-res-76042.out
timesformer,epic_kitchens,96,10,5,39.16,3.14,False,retrain-res-76054.out
timesformer,ucf101,112,10,7,69.52,0.37,False,retrain-res-76064.out
timesformer,ssv2,112,10,9,37.28,0.66,True,retrain-res-76076.out
timesformer,hmdb51,112,10,8,65.62,1.2,False,retrain-res-76081.out
timesformer,diving48,112,10,5,27.41,4.97,False,retrain-res-76094.out
timesformer,autsl,112,10,5,23.11,6.43,False,retrain-res-76123.out
timesformer,driveact,112,10,8,55.54,1.18,False,retrain-res-76125.out
timesformer,epic_kitchens,112,10,4,41.32,8.5,False,retrain-res-76130.out
timesformer,ucf101,160,10,6,76.55,0.53,False,retrain-res-76148.out
timesformer,ssv2,160,10,10,41.69,0.82,True,retrain-res-76157.out
timesformer,hmdb51,160,10,6,69.46,3.73,False,retrain-res-76159.out
timesformer,diving48,160,10,9,32.79,0.35,True,retrain-res-76161.out
timesformer,autsl,160,10,10,36.53,0.25,True,retrain-res-76169.out
timesformer,driveact,160,10,8,62.19,0.67,False,retrain-res-76194.out
timesformer,epic_kitchens,160,10,4,42.97,8.41,False,retrain-res-76205.out
vivit,ucf101,96,10,8,71.66,0.37,False,retrain-res-76236.out
vivit,ssv2,96,10,3,30.7,,False,retrain-res-76237.out
vivit,hmdb51,96,10,6,62.0,6.76,False,retrain-res-76247.out
vivit,diving48,96,10,5,29.19,8.89,False,retrain-res-76258.out
slowfast,r50_ssv2,336,10,6,57.13,1.2,False,retrain-res-76334.out
r3d,18_ucf101,224,10,8,84.91,0.32,False,retrain-res-76349.out
r3d,18_ssv2,224,10,3,45.89,,False,retrain-res-76350.out
r3d,18_hmdb51,224,10,10,77.22,0.41,True,retrain-res-76351.out
r3d,18_diving48,224,10,9,42.08,3.3,True,retrain-res-76352.out
r3d,18_ssv2,224,10,4,45.48,7.53,False,retrain-res-76366.out
videomae,ssv2,160,10,3,51.49,,False,retrain-res-76403.out
r3d,18_ssv2,224,10,4,46.36,8.78,False,retrain-res-76404.out
r3d,18_autsl,224,10,10,86.74,0.95,True,retrain-res-76431.out
r3d,18_driveact,224,10,10,83.97,0.29,True,retrain-res-76498.out
videomamba,diving48,160,10,10,32.44,3.05,True,retrain-res-76513.out
r3d,18_epic_kitchens,224,10,7,60.28,3.36,False,retrain-res-76515.out
slowfast,r50_ssv2,160,10,4,58.34,7.21,False,retrain-res-76713.out
videomae,ssv2,336,10,5,54.29,2.6,False,retrain-res-76792.out
slowfast,r50_ucf101,336,10,3,93.68,,False,retrain-res-76919.out
r3d,18_ucf101,336,2,2,74.52,,False,retrain-res-77407.out
r3d,18_hmdb51,336,5,4,66.63,19.35,True,retrain-res-77409.out
r3d,18_diving48,336,4,3,35.13,,False,retrain-res-77410.out
r3d,18_autsl,336,1,1,50.29,,False,retrain-res-77443.out
slowfast,r50_hmdb51,336,10,5,83.9,4.42,False,retrain-res-77472.out
videomae,driveact,160,10,6,76.22,2.59,False,retrain-res-77640.out
slowfast,r50_diving48,336,10,6,58.78,6.9,False,retrain-res-77641.out
r3d,18_ssv2,336,1,1,32.64,,False,retrain-res-77672.out
slowfast,r50_autsl,112,10,9,82.44,2.43,True,retrain-res-77712.out
r3d,18_driveact,336,4,3,80.5,,False,retrain-res-77876.out
r3d,18_driveact,336,4,4,78.73,7.83,False,retrain-res-77880.out
r3d,18_epic_kitchens,336,1,1,50.17,,False,retrain-res-77977.out
videomae,driveact,96,10,2,63.52,,False,retrain-res-77979.out
videomamba,ucf101,160,10,10,41.24,20.25,True,retrain-res-77980.out
r3d,18_epic_kitchens,336,2,2,53.53,,False,retrain-res-77981.out
mc3,18_ucf101,224,10,7,80.89,1.51,False,retrain-res-78085.out
mc3,18_ssv2,224,10,8,44.05,0.33,False,retrain-res-78107.out
mc3,18_ssv2,224,10,8,43.33,0.68,False,retrain-res-78133.out
vivit,driveact,112,10,8,51.77,0.74,False,retrain-res-78136.out
slowfast,r50_diving48,160,10,8,58.17,1.77,False,retrain-res-78142.out
mc3,18_ssv2,224,10,9,43.17,0.12,True,retrain-res-78144.out
mc3,18_ssv2,224,10,6,43.37,4.37,False,retrain-res-78162.out
videomamba,driveact,160,10,10,60.49,8.13,True,retrain-res-78184.out
vivit,diving48,160,10,8,37.26,0.2,False,retrain-res-78235.out
videomae,ssv2,96,10,3,45.03,,False,retrain-res-78339.out
slowfast,r50_epic_kitchens,96,10,10,63.84,0.43,True,retrain-res-78370.out
vivit,ucf101,160,10,9,82.08,0.06,True,retrain-res-78438.out
vivit,autsl,96,10,5,16.57,6.47,False,retrain-res-78449.out
mc3,18_hmdb51,224,10,9,74.9,4.94,True,retrain-res-78585.out
mc3,18_diving48,224,10,7,50.36,16.25,False,retrain-res-78592.out
mc3,18_diving48,224,10,8,48.38,11.88,False,retrain-res-78602.out
mc3,18_autsl,224,10,9,74.85,1.9,True,retrain-res-78609.out
mc3,18_autsl,224,10,10,75.15,0.7,True,retrain-res-78621.out
mc3,18_driveact,224,10,4,79.39,11.44,False,retrain-res-78675.out
mc3,18_epic_kitchens,224,10,8,55.09,1.36,False,retrain-res-78687.out
mc3,18_epic_kitchens,224,10,9,55.69,1.58,True,retrain-res-78704.out
videomamba,ucf101,96,10,10,67.09,1.32,True,retrain-res-78726.out
videomamba,epic_kitchens,96,10,5,41.43,9.66,False,retrain-res-78729.out
mc3,18_ucf101,336,3,3,71.19,,False,retrain-res-78730.out
mc3,18_ucf101,336,2,2,64.87,,False,retrain-res-78734.out
videomamba,ssv2,96,10,4,41.08,19.35,False,retrain-res-79091.out
vivit,hmdb51,160,10,8,69.56,2.73,False,retrain-res-79112.out
mc3,18_ssv2,336,1,1,21.81,,False,retrain-res-79133.out
videomae,epic_kitchens,112,10,2,53.0,,False,retrain-res-79148.out
videomae,ucf101,160,10,3,89.45,,False,retrain-res-79169.out
videomae,diving48,160,10,4,43.3,14.82,False,retrain-res-79178.out
mc3,18_hmdb51,336,5,5,66.73,11.69,True,retrain-res-79188.out
mc3,18_hmdb51,336,6,5,65.22,10.68,True,retrain-res-79192.out
videomae,driveact,336,10,10,78.21,0.29,True,retrain-res-79193.out
slowfast,r50_driveact,336,10,9,81.98,1.18,True,retrain-res-79195.out
mc3,18_diving48,336,3,3,30.91,,False,retrain-res-79201.out
mc3,18_autsl,336,1,1,20.85,,False,retrain-res-79202.out
mc3,18_diving48,336,6,6,39.75,12.44,True,retrain-res-79205.out
mc3,18_diving48,336,4,4,35.89,21.22,False,retrain-res-79207.out
slowfast,r50_ucf101,112,10,4,93.81,2.51,False,retrain-res-79209.out
mc3,18_driveact,336,3,2,75.26,,False,retrain-res-79215.out
videomamba,epic_kitchens,160,10,6,45.41,6.2,False,retrain-res-79224.out
mc3,18_epic_kitchens,336,1,1,39.79,,False,retrain-res-79231.out
r2plus1d,18_diving48,96,10,6,41.73,0.21,False,retrain-res-79232.out
vivit,driveact,96,10,7,52.36,0.44,False,retrain-res-79242.out
mc3,18_epic_kitchens,336,1,1,41.13,,False,retrain-res-79246.out
r2plus1d,18_epic_kitchens,96,10,10,60.46,0.14,True,retrain-res-79267.out
r2plus1d,18_epic_kitchens,96,10,5,58.98,0.69,False,retrain-res-79278.out
vivit,ucf101,112,10,7,75.23,1.29,False,retrain-res-79289.out
r2plus1d,18_epic_kitchens,96,10,6,59.7,0.01,False,retrain-res-79294.out
r2plus1d,18_ucf101,160,10,5,90.35,2.72,False,retrain-res-79318.out
r2plus1d,18_ssv2,160,10,7,50.6,0.02,False,retrain-res-79370.out
r2plus1d,18_hmdb51,160,10,6,82.06,5.35,False,retrain-res-79548.out
r2plus1d,18_diving48,160,10,10,45.79,2.59,True,retrain-res-79566.out
r2plus1d,18_diving48,160,10,8,46.14,7.56,False,retrain-res-79581.out
r2plus1d,18_autsl,160,10,9,84.81,4.75,True,retrain-res-79582.out
r2plus1d,18_driveact,160,10,10,84.27,0.74,True,retrain-res-79666.out
r2plus1d,18_epic_kitchens,160,10,3,61.83,,False,retrain-res-79686.out
r2plus1d,18_epic_kitchens,160,10,6,61.93,1.39,False,retrain-res-79721.out
timesformer,ucf101,336,10,8,81.6,0.47,False,retrain-res-79933.out
timesformer,ucf101,336,10,4,78.59,8.09,False,retrain-res-79934.out
videomae,diving48,96,10,3,27.16,,False,retrain-res-79991.out
videomamba,ssv2,112,10,5,44.52,5.55,False,retrain-res-80088.out
vivit,hmdb51,112,10,10,66.63,0.2,True,retrain-res-80484.out
timesformer,autsl,112,10,4,30.31,17.7,False,timesformer-v2-autsl-112px-143355.out
timesformer,autsl,224,10,4,48.19,3.1,False,timesformer-v2-autsl-112px-143385.out
timesformer,autsl,160,8,8,50.54,0.52,True,timesformer-v2-autsl-160px-143370.out
timesformer,autsl,224,10,8,65.05,1.92,False,timesformer-v2-autsl-160px-143386.out
timesformer,autsl,96,10,7,22.2,0.65,False,timesformer-v2-autsl-96px-143354.out
timesformer,autsl,224,10,9,40.4,1.04,True,timesformer-v2-autsl-96px-143384.out
timesformer,diving48,112,1,1,20.96,,False,timesformer-v2-diving48-112px-143377.out
timesformer,diving48,224,10,6,43.71,0.92,False,timesformer-v2-diving48-112px-143436.out
timesformer,diving48,224,10,6,51.62,0.1,False,timesformer-v2-diving48-160px-143440.out
timesformer,diving48,96,5,5,23.15,3.45,True,timesformer-v2-diving48-96px-143372.out
timesformer,diving48,224,10,7,36.6,0.41,False,timesformer-v2-diving48-96px-143387.out
timesformer,driveact,224,10,1,66.4,,False,timesformer-v2-driveact-112px-143443.out
timesformer,driveact,224,10,7,73.93,0.07,False,timesformer-v2-driveact-160px-143455.out
timesformer,driveact,224,10,7,59.38,2.59,False,timesformer-v2-driveact-96px-143441.out
timesformer,epic_kitchens,224,10,2,46.45,,False,timesformer-v2-epic_kitchens-112px-143500.out
timesformer,epic_kitchens,224,10,1,50.65,,False,timesformer-v2-epic_kitchens-160px-143501.out
timesformer,epic_kitchens,224,10,2,45.41,,False,timesformer-v2-epic_kitchens-96px-143499.out
timesformer,hmdb51,224,10,3,71.47,,False,timesformer-v2-hmdb51-112px-143489.out
timesformer,hmdb51,224,10,5,77.62,1.81,False,timesformer-v2-hmdb51-160px-143490.out
timesformer,hmdb51,224,10,3,67.34,,False,timesformer-v2-hmdb51-96px-143483.out
timesformer,ucf101,224,10,1,85.67,,False,timesformer-v2-ucf101-112px-143463.out
timesformer,ucf101,224,10,2,90.7,,False,timesformer-v2-ucf101-160px-143472.out
timesformer,ucf101,224,10,3,82.55,,False,timesformer-v2-ucf101-96px-143460.out
videomae,autsl,224,10,4,69.42,1.92,False,videomae-v2-autsl-112px-143842.out
videomae,autsl,224,10,9,80.35,0.88,True,videomae-v2-autsl-160px-143767.out
videomae,autsl,224,10,10,65.17,0.25,True,videomae-v2-autsl-96px-143771.out
videomae,diving48,224,10,1,54.77,,False,videomae-v2-diving48-112px-143853.out
videomae,diving48,224,10,5,63.5,2.38,False,videomae-v2-diving48-160px-143768.out
videomae,diving48,224,10,6,51.73,0.31,False,videomae-v2-diving48-96px-143772.out
videomae,driveact,224,10,2,79.62,,False,videomae-v2-driveact-112px-143855.out
videomae,driveact,224,10,8,84.86,0.07,False,videomae-v2-driveact-160px-143769.out
videomae,driveact,224,10,1,75.11,,False,videomae-v2-driveact-96px-143805.out
videomae,epic_kitchens,224,10,6,61.74,0.77,False,videomae-v2-epic_kitchens-112px-143866.out
videomae,epic_kitchens,224,10,5,65.91,1.02,False,videomae-v2-epic_kitchens-160px-143796.out
videomae,epic_kitchens,224,10,1,58.55,,False,videomae-v2-epic_kitchens-96px-143823.out
videomae,hmdb51,224,10,1,83.17,,False,videomae-v2-hmdb51-112px-143860.out
videomae,hmdb51,224,10,2,85.89,,False,videomae-v2-hmdb51-160px-143789.out
videomae,hmdb51,224,10,2,79.44,,False,videomae-v2-hmdb51-96px-143808.out
videomae,ucf101,224,10,2,93.47,,False,videomae-v2-ucf101-112px-143856.out
videomae,ucf101,224,10,2,95.74,,False,videomae-v2-ucf101-160px-143770.out
videomae,ucf101,224,10,2,92.2,,False,videomae-v2-ucf101-96px-143807.out
vivit,autsl,224,10,5,49.16,3.35,False,vivit-v2-autsl-112px-143703.out
vivit,autsl,224,10,5,66.61,1.81,False,vivit-v2-autsl-160px-143621.out
vivit,autsl,224,10,10,40.18,0.66,True,vivit-v2-autsl-96px-143619.out
vivit,autsl,224,10,10,39.77,0.34,True,vivit-v2-autsl-96px-143627.out
vivit,diving48,224,10,5,46.75,1.01,False,vivit-v2-diving48-112px-143723.out
vivit,diving48,224,10,10,55.03,0.06,True,vivit-v2-diving48-160px-143622.out
vivit,diving48,224,10,3,42.39,,False,vivit-v2-diving48-96px-143639.out
vivit,driveact,224,10,3,65.73,,False,vivit-v2-driveact-112px-143734.out
vivit,driveact,224,10,2,70.46,,False,vivit-v2-driveact-160px-143623.out
vivit,driveact,224,10,8,63.52,0.67,False,vivit-v2-driveact-96px-143642.out
vivit,epic_kitchens,224,10,7,47.04,0.41,False,vivit-v2-epic_kitchens-112px-143739.out
vivit,epic_kitchens,224,10,6,51.37,0.04,False,vivit-v2-epic_kitchens-160px-143640.out
vivit,epic_kitchens,224,10,8,44.79,0.53,False,vivit-v2-epic_kitchens-96px-143685.out
vivit,hmdb51,224,10,1,73.19,,False,vivit-v2-hmdb51-112px-143737.out
vivit,hmdb51,224,10,2,77.52,,False,vivit-v2-hmdb51-160px-143636.out
vivit,hmdb51,224,10,5,71.57,0.4,False,vivit-v2-hmdb51-96px-143655.out
vivit,ucf101,224,10,8,88.66,0.13,False,vivit-v2-ucf101-112px-143736.out
vivit,ucf101,224,10,2,93.31,,False,vivit-v2-ucf101-160px-143626.out
vivit,ucf101,224,10,4,85.2,1.09,False,vivit-v2-ucf101-96px-143650.out
videomamba,autsl,224,10,5,34.25,3.94,False,vmamba-v2-autsl-112px-143814.out
videomamba,autsl,224,10,9,53.28,2.1,True,vmamba-v2-autsl-160px-143817.out
videomamba,autsl,224,6,3,0.52,,False,vmamba-v2-autsl-224px-143401.out
videomamba,autsl,224,4,3,0.61,,False,vmamba-v2-autsl-224px-143759.out
videomamba,autsl,224,1,1,0.45,,False,vmamba-v2-autsl-224px-143832.out
videomamba,autsl,160,10,8,65.8,0.54,False,vmamba-v2-autsl-224px-143977.out
videomamba,autsl,96,7,7,0.54,0.09,True,vmamba-v2-autsl-96px-143793.out
videomamba,autsl,224,10,7,30.44,2.15,False,vmamba-v2-autsl-96px-143813.out
videomamba,diving48,112,10,3,5.43,,False,vmamba-v2-diving48-112px-143837.out
videomamba,diving48,160,10,7,6.04,0.66,False,vmamba-v2-diving48-160px-143858.out
videomamba,diving48,224,10,6,6.29,0.5,False,vmamba-v2-diving48-224px-143402.out
videomamba,diving48,224,10,3,6.65,,False,vmamba-v2-diving48-224px-143524.out
videomamba,diving48,224,10,4,8.02,3.1,False,vmamba-v2-diving48-224px-143869.out
videomamba,diving48,96,10,2,5.38,,False,vmamba-v2-diving48-96px-143802.out
videomamba,driveact,112,10,7,31.76,5.32,False,vmamba-v2-driveact-112px-143846.out
videomamba,driveact,160,10,4,24.96,4.87,False,vmamba-v2-driveact-160px-143862.out
videomamba,driveact,224,10,3,20.9,,False,vmamba-v2-driveact-224px-143423.out
videomamba,driveact,224,10,1,20.09,,False,vmamba-v2-driveact-224px-143889.out
videomamba,driveact,96,10,6,36.63,6.72,False,vmamba-v2-driveact-96px-143806.out
videomamba,epic_kitchens,112,10,5,25.41,1.2,False,vmamba-v2-epic_kitchens-112px-143852.out
videomamba,epic_kitchens,160,10,3,24.96,,False,vmamba-v2-epic_kitchens-160px-143865.out
videomamba,epic_kitchens,224,4,4,24.9,0.82,False,vmamba-v2-epic_kitchens-224px-143445.out
videomamba,epic_kitchens,224,10,5,24.57,0.87,False,vmamba-v2-epic_kitchens-224px-143894.out
videomamba,epic_kitchens,96,10,4,25.34,1.6,False,vmamba-v2-epic_kitchens-96px-143828.out
videomamba,hmdb51,112,10,10,25.4,3.73,True,vmamba-v2-hmdb51-112px-143844.out
videomamba,hmdb51,160,10,10,22.18,3.83,True,vmamba-v2-hmdb51-160px-143861.out
videomamba,hmdb51,224,10,10,19.86,2.02,True,vmamba-v2-hmdb51-224px-143404.out
videomamba,hmdb51,224,10,10,20.46,3.73,True,vmamba-v2-hmdb51-224px-143877.out
videomamba,hmdb51,96,10,9,24.6,7.87,True,vmamba-v2-hmdb51-96px-143804.out
videomamba,ucf101,112,10,7,10.1,1.77,False,vmamba-v2-ucf101-112px-143857.out
videomamba,ucf101,160,10,7,6.93,1.19,False,vmamba-v2-ucf101-160px-143868.out
videomamba,ucf101,224,10,9,6.77,0.4,True,vmamba-v2-ucf101-224px-143459.out
videomamba,ucf101,224,10,8,7.38,0.8,False,vmamba-v2-ucf101-224px-143895.out
videomamba,ucf101,96,10,10,10.04,0.6,True,vmamba-v2-ucf101-96px-143833.out
videomamba,diving48,224,10,7,48.07,2.79,False,vmamba-v3-diving48-224px-144157.out
videomamba,epic_kitchens,224,10,2,47.1,,False,vmamba-v3-epic_kitchens-112px-143979.out
videomamba,ucf101,224,10,7,86.39,0.85,False,vmamba-v3-ucf101-160px-143978.out
videomamba,ucf101,160,10,4,88.69,0.8,False,vmamba-v3-ucf101-224px-144001.out
