duration_bin,n,acc_dense,acc_sparse,aliasing_loss_pp,model,dataset,pearson_r_dur_aliasing,pearson_p
<1s,48,0.7291666666666666,0.2708333333333333,45.83333333333333,videomae,driveact,0.0060570598219713,0.9961439323761234
1-3s,277,0.6931407942238267,0.3104693140794224,38.26714801444043,videomae,driveact,0.0060570598219713,0.9961439323761234
3-6s,123,0.8455284552845529,0.3983739837398374,44.71544715447155,videomae,driveact,0.0060570598219713,0.9961439323761234
<1s,331,0.3716012084592145,0.1722054380664652,19.939577039274926,videomae,epic_kitchens,-0.883368933665503,0.1166310663344969
1-3s,411,0.3333333333333333,0.2360097323600973,9.7323600973236,videomae,epic_kitchens,-0.883368933665503,0.1166310663344969
3-6s,162,0.3703703703703703,0.3518518518518518,1.851851851851849,videomae,epic_kitchens,-0.883368933665503,0.1166310663344969
>6s,116,0.5603448275862069,0.5517241379310345,0.8620689655172376,videomae,epic_kitchens,-0.883368933665503,0.1166310663344969
1-3s,142,0.8943661971830986,0.8802816901408451,1.4084507042253502,videomamba,ucf101,-0.1985388434834545,0.8727608047497485
3-6s,788,0.8489847715736041,0.8451776649746193,0.3807106598984755,videomamba,ucf101,-0.1985388434834545,0.8727608047497485
>6s,1090,0.9073394495412844,0.8963302752293578,1.1009174311926606,videomamba,ucf101,-0.1985388434834545,0.8727608047497485
1-3s,304,0.5855263157894737,0.5131578947368421,7.236842105263152,videomamba,hmdb51,-0.9459982804128008,0.2101710747600803
3-6s,471,0.7430997876857749,0.721868365180467,2.123142250530785,videomamba,hmdb51,-0.9459982804128008,0.2101710747600803
>6s,103,0.8349514563106796,0.8349514563106796,0.0,videomamba,hmdb51,-0.9459982804128008,0.2101710747600803
1-3s,165,0.4242424242424242,0.2303030303030303,19.393939393939394,videomamba,diving48,-0.922952319491058,0.2515379979181378
3-6s,447,0.348993288590604,0.3333333333333333,1.5659955257270708,videomamba,diving48,-0.922952319491058,0.2515379979181378
>6s,130,0.3461538461538461,0.3846153846153846,-3.84615384615385,videomamba,diving48,-0.922952319491058,0.2515379979181378
<1s,48,0.7083333333333334,0.6875,2.083333333333337,videomamba,driveact,0.7611004438129868,0.4493188126936868
1-3s,277,0.555956678700361,0.4548736462093863,10.108303249097473,videomamba,driveact,0.7611004438129868,0.4493188126936868
3-6s,123,0.5691056910569106,0.4715447154471545,9.756097560975608,videomamba,driveact,0.7611004438129868,0.4493188126936868
<1s,331,0.2870090634441087,0.2477341389728096,3.92749244712991,videomamba,epic_kitchens,-0.5618705737279808,0.4381294262720192
1-3s,411,0.2457420924574209,0.2360097323600973,0.9732360097323616,videomamba,epic_kitchens,-0.5618705737279808,0.4381294262720192
3-6s,162,0.2716049382716049,0.2839506172839506,-1.2345679012345678,videomamba,epic_kitchens,-0.5618705737279808,0.4381294262720192
>6s,116,0.4224137931034483,0.4137931034482758,0.8620689655172431,videomamba,epic_kitchens,-0.5618705737279808,0.4381294262720192
