class,coverage,stride,accuracy,n_samples
spray painting,10,2,0.755102,49
spraying,10,2,0.360000,50
springboard diving,10,2,0.854167,48
squat,10,2,0.700000,50
sticking tongue out,10,2,0.367347,49
stomping grapes,10,2,0.680000,50
stretching arm,10,2,0.500000,50
stretching leg,10,2,0.480000,50
strumming guitar,10,2,0.660000,50
surfing crowd,10,2,0.854167,48
surfing water,10,2,0.750000,48
sweeping floor,10,2,0.540000,50
swimming backstroke,10,2,0.700000,50
swimming breast stroke,10,2,0.640000,50
swimming butterfly stroke,10,2,0.500000,50
swing dancing,10,2,0.180000,50
swinging legs,10,2,0.200000,50
swinging on something,10,2,0.387755,49
sword fighting,10,2,0.326531,49
tai chi,10,2,0.780000,50
taking a shower,10,2,0.489796,49
tango dancing,10,2,0.660000,50
tap dancing,10,2,0.591837,49
tapping guitar,10,2,0.680000,50
tapping pen,10,2,0.775510,49
tasting beer,10,2,0.600000,50
tasting food,10,2,0.480000,50
testifying,10,2,0.755102,49
texting,10,2,0.367347,49
throwing axe,10,2,0.740000,50
throwing ball,10,2,0.160000,50
throwing discus,10,2,0.680000,50
tickling,10,2,0.440000,50
tobogganing,10,2,0.800000,50
tossing coin,10,2,0.360000,50
tossing salad,10,2,0.680000,50
training dog,10,2,0.480000,50
trapezing,10,2,0.840000,50
trimming or shaving beard,10,2,0.840000,50
trimming trees,10,2,0.734694,49
triple jump,10,2,0.530612,49
tying bow tie,10,2,0.440000,50
tying knot (not on a tie),10,2,0.620000,50
tying tie,10,2,0.820000,50
unboxing,10,2,0.673469,49
unloading truck,10,2,0.600000,50
using computer,10,2,0.775510,49
using remote controller (not gaming),10,2,0.571429,49
using segway,10,2,0.653061,49
vault,10,2,0.640000,50
waiting in line,10,2,0.400000,50
walking the dog,10,2,0.632653,49
washing dishes,10,2,0.680000,50
washing feet,10,2,0.840000,50
washing hair,10,2,0.583333,48
washing hands,10,2,0.580000,50
water skiing,10,2,0.693878,49
water sliding,10,2,0.620000,50
watering plants,10,2,0.820000,50
waxing back,10,2,0.560000,50
waxing chest,10,2,0.640000,50
waxing eyebrows,10,2,0.640000,50
waxing legs,10,2,0.640000,50
weaving basket,10,2,0.840000,50
welding,10,2,0.640000,50
whistling,10,2,0.260000,50
windsurfing,10,2,0.820000,50
wrapping present,10,2,0.714286,49
wrestling,10,2,0.580000,50
writing,10,2,0.700000,50
yawning,10,2,0.285714,49
yoga,10,2,0.510204,49
zumba,10,2,0.733333,45
abseiling,25,2,0.720000,50
air drumming,25,2,0.571429,49
answering questions,25,2,0.280000,50
applauding,25,2,0.280000,50
applying cream,25,2,0.540000,50
archery,25,2,0.760000,50
arm wrestling,25,2,0.775510,49
arranging flowers,25,2,0.920000,50
assembling computer,25,2,0.980000,50
auctioning,25,2,0.720000,50
baby waking up,25,2,0.680000,50
baking cookies,25,2,0.653061,49
balloon blowing,25,2,0.795918,49
bandaging,25,2,0.680000,50
barbequing,25,2,0.720000,50
bartending,25,2,0.920000,50
beatboxing,25,2,0.448980,49
bee keeping,25,2,0.900000,50
belly dancing,25,2,0.857143,49
bench pressing,25,2,0.900000,50
bending back,25,2,0.270833,48
bending metal,25,2,0.520000,50
biking through snow,25,2,0.800000,50
blasting sand,25,2,0.580000,50
blowing glass,25,2,0.900000,50
blowing leaves,25,2,0.693878,49
blowing nose,25,2,0.440000,50
blowing out candles,25,2,0.836735,49
bobsledding,25,2,0.780000,50
bookbinding,25,2,0.860000,50
bouncing on trampoline,25,2,0.820000,50
bowling,25,2,0.918367,49
braiding hair,25,2,0.714286,49
breading or breadcrumbing,25,2,0.551020,49
breakdancing,25,2,0.520000,50
brush painting,25,2,0.687500,48
brushing hair,25,2,0.560000,50
brushing teeth,25,2,0.780000,50
building cabinet,25,2,0.620000,50
building shed,25,2,0.740000,50
bungee jumping,25,2,0.880000,50
busking,25,2,0.720000,50
canoeing or kayaking,25,2,0.880000,50
capoeira,25,2,0.780000,50
carrying baby,25,2,0.854167,48
cartwheeling,25,2,0.400000,50
carving pumpkin,25,2,0.875000,48
catching fish,25,2,0.708333,48
catching or throwing baseball,25,2,0.440000,50
catching or throwing frisbee,25,2,0.460000,50
catching or throwing softball,25,2,0.660000,50
celebrating,25,2,0.520000,50
changing oil,25,2,0.840000,50
changing wheel,25,2,0.600000,50
checking tires,25,2,0.700000,50
cheerleading,25,2,0.836735,49
chopping wood,25,2,0.795918,49
clapping,25,2,0.458333,48
clay pottery making,25,2,0.840000,50
clean and jerk,25,2,0.755102,49
cleaning floor,25,2,0.591837,49
cleaning gutters,25,2,0.700000,50
cleaning pool,25,2,0.720000,50
cleaning shoes,25,2,0.653061,49
cleaning toilet,25,2,0.740000,50
cleaning windows,25,2,0.740000,50
climbing a rope,25,2,0.700000,50
climbing ladder,25,2,0.700000,50
climbing tree,25,2,0.780000,50
contact juggling,25,2,0.720000,50
cooking chicken,25,2,0.640000,50
cooking egg,25,2,0.480000,50
cooking on campfire,25,2,0.729167,48
cooking sausages,25,2,0.540000,50
counting money,25,2,0.673469,49
country line dancing,25,2,0.800000,50
cracking neck,25,2,0.479167,48
crawling baby,25,2,0.840000,50
crossing river,25,2,0.860000,50
crying,25,2,0.367347,49
curling hair,25,2,0.857143,49
cutting nails,25,2,0.595745,47
cutting pineapple,25,2,0.900000,50
cutting watermelon,25,2,0.851064,47
dancing ballet,25,2,0.860000,50
dancing charleston,25,2,0.469388,49
dancing gangnam style,25,2,0.500000,48
dancing macarena,25,2,0.510204,49
deadlifting,25,2,0.755102,49
decorating the christmas tree,25,2,0.877551,49
digging,25,2,0.600000,50
dining,25,2,0.680000,50
disc golfing,25,2,0.680000,50
diving cliff,25,2,0.693878,49
dodgeball,25,2,0.680000,50
doing aerobics,25,2,0.480000,50
doing laundry,25,2,0.740000,50
doing nails,25,2,0.854167,48
drawing,25,2,0.750000,48
dribbling basketball,25,2,0.720000,50
drinking,25,2,0.326531,49
drinking beer,25,2,0.420000,50
drinking shots,25,2,0.224490,49
driving car,25,2,0.666667,48
driving tractor,25,2,0.755102,49
drop kicking,25,2,0.234043,47
drumming fingers,25,2,0.660000,50
dunking basketball,25,2,0.437500,48
dying hair,25,2,0.787234,47
eating burger,25,2,0.673469,49
eating cake,25,2,0.480000,50
eating carrots,25,2,0.750000,48
eating chips,25,2,0.360000,50
eating doughnuts,25,2,0.306122,49
eating hotdog,25,2,0.440000,50
eating ice cream,25,2,0.540000,50
eating spaghetti,25,2,0.816327,49
eating watermelon,25,2,0.780000,50
egg hunting,25,2,0.700000,50
exercising arm,25,2,0.387755,49
exercising with an exercise ball,25,2,0.687500,48
extinguishing fire,25,2,0.795918,49
faceplanting,25,2,0.142857,49
feeding birds,25,2,0.800000,50
feeding fish,25,2,0.877551,49
feeding goats,25,2,0.920000,50
filling eyebrows,25,2,0.938776,49
finger snapping,25,2,0.380000,50
fixing hair,25,2,0.367347,49
flipping pancake,25,2,0.816327,49
flying kite,25,2,0.720000,50
folding clothes,25,2,0.673469,49
folding napkins,25,2,0.693878,49
folding paper,25,2,0.795918,49
front raises,25,2,0.840000,50
frying vegetables,25,2,0.780000,50
garbage collecting,25,2,0.591837,49
gargling,25,2,0.551020,49
getting a haircut,25,2,0.673469,49
getting a tattoo,25,2,0.897959,49
giving or receiving award,25,2,0.800000,50
golf chipping,25,2,0.700000,50
golf driving,25,2,0.760000,50
golf putting,25,2,0.816327,49
grinding meat,25,2,0.960000,50
grooming dog,25,2,0.820000,50
grooming horse,25,2,0.877551,49
gymnastics tumbling,25,2,0.877551,49
hammer throw,25,2,0.780000,50
headbanging,25,2,0.612245,49
headbutting,25,2,0.140000,50
high jump,25,2,0.820000,50
high kick,25,2,0.240000,50
hitting baseball,25,2,0.880000,50
hockey stop,25,2,0.320000,50
holding snake,25,2,0.660000,50
hopscotch,25,2,0.820000,50
hoverboarding,25,2,0.791667,48
hugging,25,2,0.244898,49
hula hooping,25,2,0.938776,49
hurdling,25,2,0.800000,50
hurling (sport),25,2,0.980000,50
ice climbing,25,2,0.860000,50
ice fishing,25,2,0.895833,48
ice skating,25,2,0.780000,50
ironing,25,2,0.770833,48
javelin throw,25,2,0.760000,50
jetskiing,25,2,0.860000,50
jogging,25,2,0.380000,50
juggling balls,25,2,0.775510,49
juggling fire,25,2,0.800000,50
juggling soccer ball,25,2,0.780000,50
jumping into pool,25,2,0.880000,50
jumpstyle dancing,25,2,0.653061,49
kicking field goal,25,2,0.840000,50
kicking soccer ball,25,2,0.500000,50
kissing,25,2,0.543478,46
kitesurfing,25,2,0.780000,50
knitting,25,2,0.960000,50
krumping,25,2,0.673469,49
laughing,25,2,0.479167,48
laying bricks,25,2,0.755102,49
long jump,25,2,0.520000,50
lunge,25,2,0.560000,50
making a cake,25,2,0.387755,49
making a sandwich,25,2,0.560000,50
making bed,25,2,0.860000,50
making jewelry,25,2,0.734694,49
making pizza,25,2,0.800000,50
making snowman,25,2,0.860000,50
making sushi,25,2,0.820000,50
making tea,25,2,0.600000,50
marching,25,2,0.960000,50
massaging back,25,2,0.795918,49
massaging feet,25,2,0.551020,49
massaging legs,25,2,0.632653,49
massaging person's head,25,2,0.620000,50
milking cow,25,2,0.979167,48
mopping floor,25,2,0.540000,50
motorcycling,25,2,0.795918,49
moving furniture,25,2,0.440000,50
mowing lawn,25,2,0.840000,50
news anchoring,25,2,0.640000,50
opening bottle,25,2,0.580000,50
opening present,25,2,0.780000,50
paragliding,25,2,0.900000,50
parasailing,25,2,0.820000,50
parkour,25,2,0.458333,48
passing American football (in game),25,2,0.840000,50
passing American football (not in game),25,2,0.530612,49
peeling apples,25,2,0.820000,50
peeling potatoes,25,2,0.600000,50
petting animal (not cat),25,2,0.571429,49
petting cat,25,2,0.880000,50
picking fruit,25,2,0.816327,49
planting trees,25,2,0.755102,49
plastering,25,2,0.560000,50
playing accordion,25,2,0.877551,49
playing badminton,25,2,0.840000,50
playing bagpipes,25,2,0.840000,50
playing basketball,25,2,0.500000,50
playing bass guitar,25,2,0.820000,50
playing cards,25,2,0.760000,50
playing cello,25,2,0.920000,50
playing chess,25,2,0.860000,50
playing clarinet,25,2,0.780000,50
playing controller,25,2,0.880000,50
playing cricket,25,2,0.795918,49
playing cymbals,25,2,0.840000,50
playing didgeridoo,25,2,0.900000,50
playing drums,25,2,0.877551,49
playing flute,25,2,0.640000,50
playing guitar,25,2,0.660000,50
playing harmonica,25,2,0.612245,49
playing harp,25,2,0.980000,50
playing ice hockey,25,2,0.897959,49
playing keyboard,25,2,0.729167,48
playing kickball,25,2,0.680000,50
playing monopoly,25,2,0.820000,50
playing organ,25,2,0.840000,50
playing paintball,25,2,0.960000,50
playing piano,25,2,0.640000,50
playing poker,25,2,0.775510,49
playing recorder,25,2,0.760000,50
playing saxophone,25,2,0.800000,50
playing squash or racquetball,25,2,1.000000,50
playing tennis,25,2,0.918367,49
playing trombone,25,2,0.795918,49
playing trumpet,25,2,0.836735,49
playing ukulele,25,2,0.920000,50
playing violin,25,2,0.760000,50
playing volleyball,25,2,0.875000,48
playing xylophone,25,2,0.740000,50
pole vault,25,2,0.720000,50
presenting weather forecast,25,2,0.920000,50
pull ups,25,2,0.900000,50
pumping fist,25,2,0.360000,50
pumping gas,25,2,0.812500,48
punching bag,25,2,0.800000,50
punching person (boxing),25,2,0.551020,49
push up,25,2,0.833333,48
pushing car,25,2,0.760000,50
pushing cart,25,2,0.820000,50
pushing wheelchair,25,2,0.600000,50
reading book,25,2,0.780000,50
reading newspaper,25,2,0.700000,50
recording music,25,2,0.300000,50
riding a bike,25,2,0.687500,48
riding camel,25,2,0.920000,50
riding elephant,25,2,0.920000,50
riding mechanical bull,25,2,0.938776,49
riding mountain bike,25,2,0.734694,49
riding mule,25,2,0.760000,50
riding or walking with horse,25,2,0.812500,48
riding scooter,25,2,0.760000,50
riding unicycle,25,2,0.720000,50
ripping paper,25,2,0.560000,50
robot dancing,25,2,0.400000,50
rock climbing,25,2,0.800000,50
rock scissors paper,25,2,0.260000,50
roller skating,25,2,0.840000,50
running on treadmill,25,2,0.833333,48
sailing,25,2,0.877551,49
salsa dancing,25,2,0.632653,49
sanding floor,25,2,0.860000,50
scrambling eggs,25,2,0.640000,50
scuba diving,25,2,0.920000,50
setting table,25,2,0.734694,49
shaking hands,25,2,0.270833,48
shaking head,25,2,0.400000,50
sharpening knives,25,2,0.700000,50
sharpening pencil,25,2,0.800000,50
shaving head,25,2,0.660000,50
shaving legs,25,2,0.600000,50
shearing sheep,25,2,0.979592,49
shining shoes,25,2,0.780000,50
shooting basketball,25,2,0.300000,50
shooting goal (soccer),25,2,0.448980,49
shot put,25,2,0.780000,50
shoveling snow,25,2,0.900000,50
shredding paper,25,2,0.640000,50
shuffling cards,25,2,0.795918,49
side kick,25,2,0.780000,50
sign language interpreting,25,2,0.645833,48
singing,25,2,0.480000,50
situp,25,2,0.600000,50
skateboarding,25,2,0.900000,50
ski jumping,25,2,0.540000,50
skiing (not slalom or crosscountry),25,2,0.571429,49
skiing crosscountry,25,2,0.780000,50
skiing slalom,25,2,0.760000,50
skipping rope,25,2,0.680000,50
skydiving,25,2,0.840000,50
slacklining,25,2,0.775510,49
slapping,25,2,0.040816,49
sled dog racing,25,2,0.900000,50
smoking,25,2,0.489796,49
smoking hookah,25,2,0.693878,49
snatch weight lifting,25,2,0.612245,49
sneezing,25,2,0.320000,50
sniffing,25,2,0.145833,48
snorkeling,25,2,0.760000,50
snowboarding,25,2,0.531915,47
snowkiting,25,2,0.960000,50
snowmobiling,25,2,0.632653,49
somersaulting,25,2,0.280000,50
spinning poi,25,2,0.836735,49
spray painting,25,2,0.795918,49
spraying,25,2,0.480000,50
springboard diving,25,2,0.812500,48
squat,25,2,0.740000,50
sticking tongue out,25,2,0.326531,49
stomping grapes,25,2,0.800000,50
stretching arm,25,2,0.480000,50
stretching leg,25,2,0.460000,50
strumming guitar,25,2,0.640000,50
surfing crowd,25,2,0.895833,48
surfing water,25,2,0.729167,48
sweeping floor,25,2,0.600000,50
swimming backstroke,25,2,0.760000,50
swimming breast stroke,25,2,0.680000,50
swimming butterfly stroke,25,2,0.540000,50
swing dancing,25,2,0.280000,50
swinging legs,25,2,0.380000,50
swinging on something,25,2,0.591837,49
sword fighting,25,2,0.612245,49
tai chi,25,2,0.720000,50
taking a shower,25,2,0.448980,49
tango dancing,25,2,0.700000,50
tap dancing,25,2,0.693878,49
tapping guitar,25,2,0.680000,50
tapping pen,25,2,0.857143,49
tasting beer,25,2,0.620000,50
tasting food,25,2,0.420000,50
testifying,25,2,0.816327,49
texting,25,2,0.489796,49
throwing axe,25,2,0.800000,50
throwing ball,25,2,0.260000,50
throwing discus,25,2,0.720000,50
tickling,25,2,0.580000,50
tobogganing,25,2,0.860000,50
tossing coin,25,2,0.420000,50
tossing salad,25,2,0.740000,50
training dog,25,2,0.580000,50
trapezing,25,2,0.900000,50
trimming or shaving beard,25,2,0.880000,50
trimming trees,25,2,0.775510,49
triple jump,25,2,0.551020,49
tying bow tie,25,2,0.580000,50
tying knot (not on a tie),25,2,0.720000,50
tying tie,25,2,0.840000,50
unboxing,25,2,0.734694,49
unloading truck,25,2,0.660000,50
using computer,25,2,0.816327,49
using remote controller (not gaming),25,2,0.612245,49
using segway,25,2,0.816327,49
vault,25,2,0.680000,50
waiting in line,25,2,0.420000,50
walking the dog,25,2,0.714286,49
washing dishes,25,2,0.760000,50
washing feet,25,2,0.840000,50
washing hair,25,2,0.625000,48
washing hands,25,2,0.640000,50
water skiing,25,2,0.775510,49
water sliding,25,2,0.680000,50
watering plants,25,2,0.840000,50
waxing back,25,2,0.660000,50
waxing chest,25,2,0.780000,50
waxing eyebrows,25,2,0.800000,50
waxing legs,25,2,0.740000,50
weaving basket,25,2,0.880000,50
welding,25,2,0.780000,50
whistling,25,2,0.300000,50
windsurfing,25,2,0.860000,50
wrapping present,25,2,0.734694,49
wrestling,25,2,0.620000,50
writing,25,2,0.720000,50
yawning,25,2,0.346939,49
yoga,25,2,0.530612,49
zumba,25,2,0.800000,45
abseiling,50,2,0.760000,50
air drumming,50,2,0.632653,49
answering questions,50,2,0.320000,50
applauding,50,2,0.280000,50
applying cream,50,2,0.540000,50
archery,50,2,0.760000,50
arm wrestling,50,2,0.877551,49
arranging flowers,50,2,0.940000,50
assembling computer,50,2,1.000000,50
auctioning,50,2,0.820000,50
baby waking up,50,2,0.680000,50
baking cookies,50,2,0.795918,49
balloon blowing,50,2,0.816327,49
bandaging,50,2,0.660000,50
barbequing,50,2,0.760000,50
bartending,50,2,0.960000,50
beatboxing,50,2,0.510204,49
bee keeping,50,2,0.900000,50
belly dancing,50,2,0.816327,49
bench pressing,50,2,0.940000,50
bending back,50,2,0.333333,48
bending metal,50,2,0.540000,50
biking through snow,50,2,0.800000,50
blasting sand,50,2,0.620000,50
blowing glass,50,2,0.940000,50
blowing leaves,50,2,0.714286,49
blowing nose,50,2,0.600000,50
blowing out candles,50,2,0.857143,49
bobsledding,50,2,0.820000,50
bookbinding,50,2,0.920000,50
bouncing on trampoline,50,2,0.860000,50
bowling,50,2,0.959184,49
braiding hair,50,2,0.714286,49
breading or breadcrumbing,50,2,0.591837,49
breakdancing,50,2,0.620000,50
brush painting,50,2,0.687500,48
brushing hair,50,2,0.660000,50
brushing teeth,50,2,0.840000,50
building cabinet,50,2,0.780000,50
building shed,50,2,0.900000,50
bungee jumping,50,2,0.960000,50
busking,50,2,0.760000,50
canoeing or kayaking,50,2,0.860000,50
capoeira,50,2,0.840000,50
carrying baby,50,2,0.895833,48
cartwheeling,50,2,0.520000,50
carving pumpkin,50,2,0.958333,48
catching fish,50,2,0.791667,48
catching or throwing baseball,50,2,0.460000,50
catching or throwing frisbee,50,2,0.620000,50
catching or throwing softball,50,2,0.660000,50
celebrating,50,2,0.620000,50
changing oil,50,2,0.860000,50
changing wheel,50,2,0.680000,50
checking tires,50,2,0.760000,50
cheerleading,50,2,0.897959,49
chopping wood,50,2,0.857143,49
clapping,50,2,0.479167,48
clay pottery making,50,2,0.900000,50
clean and jerk,50,2,0.836735,49
cleaning floor,50,2,0.632653,49
cleaning gutters,50,2,0.760000,50
cleaning pool,50,2,0.780000,50
cleaning shoes,50,2,0.755102,49
cleaning toilet,50,2,0.800000,50
cleaning windows,50,2,0.800000,50
climbing a rope,50,2,0.780000,50
climbing ladder,50,2,0.760000,50
climbing tree,50,2,0.780000,50
contact juggling,50,2,0.800000,50
cooking chicken,50,2,0.740000,50
cooking egg,50,2,0.520000,50
cooking on campfire,50,2,0.770833,48
cooking sausages,50,2,0.640000,50
counting money,50,2,0.714286,49
country line dancing,50,2,0.840000,50
cracking neck,50,2,0.583333,48
crawling baby,50,2,0.840000,50
crossing river,50,2,0.840000,50
crying,50,2,0.489796,49
curling hair,50,2,0.897959,49
cutting nails,50,2,0.617021,47
cutting pineapple,50,2,0.960000,50
cutting watermelon,50,2,0.936170,47
dancing ballet,50,2,0.800000,50
dancing charleston,50,2,0.551020,49
dancing gangnam style,50,2,0.541667,48
dancing macarena,50,2,0.653061,49
deadlifting,50,2,0.836735,49
decorating the christmas tree,50,2,0.979592,49
digging,50,2,0.600000,50
dining,50,2,0.840000,50
disc golfing,50,2,0.820000,50
diving cliff,50,2,0.877551,49
dodgeball,50,2,0.800000,50
doing aerobics,50,2,0.520000,50
doing laundry,50,2,0.740000,50
doing nails,50,2,0.916667,48
drawing,50,2,0.812500,48
dribbling basketball,50,2,0.700000,50
drinking,50,2,0.387755,49
drinking beer,50,2,0.480000,50
drinking shots,50,2,0.346939,49
driving car,50,2,0.750000,48
driving tractor,50,2,0.857143,49
drop kicking,50,2,0.319149,47
drumming fingers,50,2,0.680000,50
dunking basketball,50,2,0.687500,48
dying hair,50,2,0.808511,47
eating burger,50,2,0.734694,49
eating cake,50,2,0.580000,50
eating carrots,50,2,0.729167,48
eating chips,50,2,0.480000,50
eating doughnuts,50,2,0.387755,49
eating hotdog,50,2,0.460000,50
eating ice cream,50,2,0.500000,50
eating spaghetti,50,2,0.897959,49
eating watermelon,50,2,0.860000,50
egg hunting,50,2,0.780000,50
exercising arm,50,2,0.408163,49
exercising with an exercise ball,50,2,0.729167,48
extinguishing fire,50,2,0.816327,49
faceplanting,50,2,0.163265,49
feeding birds,50,2,0.880000,50
feeding fish,50,2,0.857143,49
feeding goats,50,2,0.960000,50
filling eyebrows,50,2,0.959184,49
finger snapping,50,2,0.360000,50
fixing hair,50,2,0.326531,49
flipping pancake,50,2,0.938776,49
flying kite,50,2,0.800000,50
folding clothes,50,2,0.755102,49
folding napkins,50,2,0.755102,49
folding paper,50,2,0.775510,49
front raises,50,2,0.960000,50
frying vegetables,50,2,0.840000,50
garbage collecting,50,2,0.653061,49
gargling,50,2,0.530612,49
getting a haircut,50,2,0.734694,49
getting a tattoo,50,2,0.918367,49
giving or receiving award,50,2,0.820000,50
golf chipping,50,2,0.640000,50
golf driving,50,2,0.860000,50
golf putting,50,2,0.836735,49
grinding meat,50,2,0.960000,50
grooming dog,50,2,0.900000,50
grooming horse,50,2,0.877551,49
gymnastics tumbling,50,2,0.938776,49
hammer throw,50,2,0.880000,50
headbanging,50,2,0.653061,49
headbutting,50,2,0.240000,50
high jump,50,2,0.860000,50
high kick,50,2,0.320000,50
hitting baseball,50,2,0.880000,50
hockey stop,50,2,0.420000,50
holding snake,50,2,0.760000,50
hopscotch,50,2,0.860000,50
hoverboarding,50,2,0.812500,48
hugging,50,2,0.469388,49
hula hooping,50,2,0.938776,49
hurdling,50,2,0.880000,50
hurling (sport),50,2,0.980000,50
ice climbing,50,2,0.920000,50
ice fishing,50,2,0.937500,48
ice skating,50,2,0.860000,50
ironing,50,2,0.854167,48
javelin throw,50,2,0.880000,50
jetskiing,50,2,0.940000,50
jogging,50,2,0.360000,50
juggling balls,50,2,0.775510,49
juggling fire,50,2,0.800000,50
juggling soccer ball,50,2,0.740000,50
jumping into pool,50,2,0.920000,50
jumpstyle dancing,50,2,0.653061,49
kicking field goal,50,2,0.860000,50
kicking soccer ball,50,2,0.540000,50
kissing,50,2,0.652174,46
kitesurfing,50,2,0.920000,50
knitting,50,2,0.960000,50
krumping,50,2,0.734694,49
laughing,50,2,0.500000,48
laying bricks,50,2,0.857143,49
long jump,50,2,0.540000,50
lunge,50,2,0.700000,50
making a cake,50,2,0.469388,49
making a sandwich,50,2,0.680000,50
making bed,50,2,0.840000,50
making jewelry,50,2,0.775510,49
making pizza,50,2,0.880000,50
making snowman,50,2,0.900000,50
making sushi,50,2,0.840000,50
making tea,50,2,0.700000,50
marching,50,2,0.960000,50
massaging back,50,2,0.775510,49
massaging feet,50,2,0.551020,49
massaging legs,50,2,0.673469,49
massaging person's head,50,2,0.600000,50
milking cow,50,2,0.979167,48
mopping floor,50,2,0.600000,50
motorcycling,50,2,0.857143,49
moving furniture,50,2,0.500000,50
mowing lawn,50,2,0.820000,50
news anchoring,50,2,0.700000,50
opening bottle,50,2,0.680000,50
opening present,50,2,0.820000,50
paragliding,50,2,0.920000,50
parasailing,50,2,0.880000,50
parkour,50,2,0.708333,48
passing American football (in game),50,2,0.900000,50
passing American football (not in game),50,2,0.591837,49
peeling apples,50,2,0.940000,50
peeling potatoes,50,2,0.720000,50
petting animal (not cat),50,2,0.571429,49
petting cat,50,2,0.960000,50
picking fruit,50,2,0.857143,49
planting trees,50,2,0.816327,49
plastering,50,2,0.660000,50
playing accordion,50,2,0.897959,49
playing badminton,50,2,0.920000,50
playing bagpipes,50,2,0.840000,50
playing basketball,50,2,0.520000,50
playing bass guitar,50,2,0.820000,50
playing cards,50,2,0.820000,50
playing cello,50,2,0.960000,50
playing chess,50,2,0.960000,50
playing clarinet,50,2,0.800000,50
playing controller,50,2,0.940000,50
playing cricket,50,2,0.836735,49
playing cymbals,50,2,0.800000,50
playing didgeridoo,50,2,0.940000,50
playing drums,50,2,0.918367,49
playing flute,50,2,0.780000,50
playing guitar,50,2,0.680000,50
playing harmonica,50,2,0.653061,49
playing harp,50,2,0.960000,50
playing ice hockey,50,2,0.938776,49
playing keyboard,50,2,0.729167,48
playing kickball,50,2,0.800000,50
playing monopoly,50,2,0.880000,50
playing organ,50,2,0.840000,50
playing paintball,50,2,0.980000,50
playing piano,50,2,0.620000,50
playing poker,50,2,0.897959,49
playing recorder,50,2,0.800000,50
playing saxophone,50,2,0.860000,50
playing squash or racquetball,50,2,0.980000,50
playing tennis,50,2,0.938776,49
playing trombone,50,2,0.877551,49
playing trumpet,50,2,0.836735,49
playing ukulele,50,2,0.900000,50
playing violin,50,2,0.800000,50
playing volleyball,50,2,0.833333,48
playing xylophone,50,2,0.780000,50
pole vault,50,2,0.840000,50
presenting weather forecast,50,2,0.960000,50
pull ups,50,2,0.860000,50
pumping fist,50,2,0.420000,50
pumping gas,50,2,0.916667,48
punching bag,50,2,0.920000,50
punching person (boxing),50,2,0.653061,49
push up,50,2,0.895833,48
pushing car,50,2,0.740000,50
pushing cart,50,2,0.840000,50
pushing wheelchair,50,2,0.800000,50
reading book,50,2,0.780000,50
reading newspaper,50,2,0.740000,50
recording music,50,2,0.320000,50
riding a bike,50,2,0.770833,48
riding camel,50,2,0.960000,50
riding elephant,50,2,0.920000,50
riding mechanical bull,50,2,1.000000,49
riding mountain bike,50,2,0.816327,49
riding mule,50,2,0.820000,50
riding or walking with horse,50,2,0.895833,48
riding scooter,50,2,0.780000,50
riding unicycle,50,2,0.800000,50
ripping paper,50,2,0.640000,50
robot dancing,50,2,0.440000,50
rock climbing,50,2,0.880000,50
rock scissors paper,50,2,0.280000,50
roller skating,50,2,0.880000,50
running on treadmill,50,2,0.854167,48
sailing,50,2,0.959184,49
salsa dancing,50,2,0.653061,49
sanding floor,50,2,0.960000,50
scrambling eggs,50,2,0.820000,50
scuba diving,50,2,0.920000,50
setting table,50,2,0.775510,49
shaking hands,50,2,0.312500,48
shaking head,50,2,0.440000,50
sharpening knives,50,2,0.720000,50
sharpening pencil,50,2,0.880000,50
shaving head,50,2,0.800000,50
shaving legs,50,2,0.660000,50
shearing sheep,50,2,0.979592,49
shining shoes,50,2,0.840000,50
shooting basketball,50,2,0.420000,50
shooting goal (soccer),50,2,0.530612,49
shot put,50,2,0.820000,50
shoveling snow,50,2,0.940000,50
shredding paper,50,2,0.740000,50
shuffling cards,50,2,0.857143,49
side kick,50,2,0.760000,50
sign language interpreting,50,2,0.708333,48
singing,50,2,0.480000,50
situp,50,2,0.700000,50
skateboarding,50,2,0.960000,50
ski jumping,50,2,0.760000,50
skiing (not slalom or crosscountry),50,2,0.653061,49
skiing crosscountry,50,2,0.840000,50
skiing slalom,50,2,0.840000,50
skipping rope,50,2,0.800000,50
skydiving,50,2,0.840000,50
slacklining,50,2,0.795918,49
slapping,50,2,0.142857,49
sled dog racing,50,2,0.980000,50
smoking,50,2,0.530612,49
smoking hookah,50,2,0.816327,49
snatch weight lifting,50,2,0.816327,49
sneezing,50,2,0.320000,50
sniffing,50,2,0.145833,48
snorkeling,50,2,0.840000,50
snowboarding,50,2,0.744681,47
snowkiting,50,2,0.960000,50
snowmobiling,50,2,0.816327,49
somersaulting,50,2,0.340000,50
spinning poi,50,2,0.877551,49
spray painting,50,2,0.857143,49
spraying,50,2,0.440000,50
springboard diving,50,2,0.875000,48
squat,50,2,0.740000,50
sticking tongue out,50,2,0.346939,49
stomping grapes,50,2,0.860000,50
stretching arm,50,2,0.460000,50
stretching leg,50,2,0.520000,50
strumming guitar,50,2,0.680000,50
surfing crowd,50,2,0.916667,48
surfing water,50,2,0.770833,48
sweeping floor,50,2,0.740000,50
swimming backstroke,50,2,0.840000,50
swimming breast stroke,50,2,0.740000,50
swimming butterfly stroke,50,2,0.540000,50
swing dancing,50,2,0.440000,50
swinging legs,50,2,0.360000,50
swinging on something,50,2,0.673469,49
